kayit_ts,tarih,pist,seq,ilk_saat,config,ayak,kosu_no,race_kod,saat,secim,banker,nat,kazanan,tuttu,sonuclandi
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,dar,1,1,226286,13:30,11,0,1,11.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,dar,2,2,226295,14:00,3,0,1,1.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,dar,3,3,226298,14:30,"6,8",0,2,8.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,dar,4,4,226300,15:00,"1,6",0,2,4.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,dar,5,5,226285,15:30,"3,4",0,2,1.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,dar,6,6,226297,16:00,"2,9",0,2,2.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,orta,1,1,226286,13:30,"1,11",0,2,11.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,orta,2,2,226295,14:00,"1,3",0,2,1.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,orta,3,3,226298,14:30,"6,8",0,2,8.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,orta,4,4,226300,15:00,"1,6",0,2,4.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,orta,5,5,226285,15:30,"3,4",0,2,1.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,1,13:30,orta,6,6,226297,16:00,"1,2,9",0,3,2.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,dar,1,5,226285,15:30,4,0,1,1.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,dar,2,6,226297,16:00,9,0,1,2.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,dar,3,7,226301,16:30,"1,6",0,2,6.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,dar,4,8,226291,17:00,"1,4",0,2,3.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,dar,5,9,226299,17:30,"6,9",0,2,14.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,dar,6,10,226302,18:00,"5,12",0,2,4.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,orta,1,5,226285,15:30,"3,4",0,2,1.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,orta,2,6,226297,16:00,"2,9",0,2,2.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,orta,3,7,226301,16:30,"1,6",0,2,6.0,1.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,orta,4,8,226291,17:00,"1,4",0,2,3.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,orta,5,9,226299,17:30,"6,9",0,2,14.0,0.0,2026-07-20
2026-07-20 22:42,2026-07-20,BURSA,2,15:30,orta,6,10,226302,18:00,"1,5,12",0,3,4.0,0.0,2026-07-20
